unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,F,TOTAL,FR	34553939 p	34421395 p	34280951 b	34005671 	33827685 	33671600 b	33515819 	33357092 	33202247 	33026963 	32841832 	32638535 	32387008 	32120553 	31887488 	31645924 	31400989 	31161369 	30944296 	30822400 	30705968 	30592988 	30473942 	30352301 	30227980 	30077312 	29922325 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,FX	: 	: 	: 	: 	32831856 	32676801 	32516716 	32367285 	32218275 	32050119 	31877660 	31685322 	31443888 	31190922 	30972368 	30745456 	30515553 	30291274 	30090468 	29982781 	29880271 	29780508 	29674479 	29565565 	29453716 	29315412 	29172305 	29033000 	28871196 	28710511 	28556020 	28408898 	28267183 	28117576 	27978468 	27804800 	27647654 	27487598 	27347548 	27224841 	27080428 	26951774 	26832395 	26690880 	26508831 	26307371 	26086867 	25872696 	25690133 	25509706 	25331362 	25120445 	24921578 	24669703 	24424823 	23870070 	23625081 	23418186 
NR,F,TOTAL,GE	1936700 	1940900 	1951000 	2349126 	: 	2353823 	2341972 	2327477 	2304622 	2303675 	2315157 	2317400 	2277900 e	2276200 e	2290700 e	2309800 e	2325600 e	2342400 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,HR	2149003 	2167872 	2186089 	2197061 	2205657 	2213675 	2221105 	2228196 	2233029 	2234979 	2237349 	2238554 	2238580 	2236884 	2236999 	2236467 	2231309 b	2334657 e	2351650 e	2356509 e	2354543 e	2379549 e	2419922 e	2412786 e	2366359 e	2379424 e	2464631 e	2459978 e	2454827 e	2448230 e	2439765 e	2430335 e	2419923 e	2409164 e	2397661 e	2384760 e	2374579 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,F,TOTAL,HU	5122270 	5141966 	5159792 	5173974 	5192845 	5207259 b	5241821 	5257424 	5267925 	5275839 	5287080 	5292002 	5304434 	5312629 	5323906 	5337873 	5349286 	5356450 	5369020 	5377960 	5385291 	5392007 	5395080 	5396582 	5398707 	5397917 	5393320 	5389919 	5481899 	5488096 	5494519 	5501882 	5508088 	5515266 	5523082 	5526399 	5524686 	5520754 	5507505 	5492842 	5469407 	5443187 	5411727 	5381650 	5365355 	5348576 	5334249 	5318448 	5305610 	5286439 	5267515 	5250423 	5238653 	5223820 	5208343 	5198464 	5177816 	5157001 
NR,F,TOTAL,IE	2416465 	2387145 	2364285 	2342002 	2326317 	2315288 	2301455 	2288454 	2268664 	2231011 	2167328 	2104707 	2062322 	2025689 	1994964 	1961797 	1927201 	1900701 	1878331 	1859395 	1840254 	1822709 	1810405 	1801045 	1793716 	1782776 	1770102 	1763762 	1767175 	1773085 	1775013 	1763217 	1767300 	1756700 	1743900 	1728700 	1708700 	1687700 	1668200 	1642700 	1621400 	1598800 	1573800 	1548100 	1523300 	1499600 	1478900 	1464400 	1453600 	1447200 	1440800 	1433800 	1428500 	1422300 	1414800 	1405900 	1402600 	1406500 
NR,F,TOTAL,IS	167316 	165259 	163914 	162353 	160419 	159211 	158446 	157694 	157300 	154563 	151096 	148689 	146407 	145169 	144184 	143125 	141491 	139384 	137626 	135937 	134641 	133648 	133087 	132113 	130786 	129480 	127443 	126353 	125356 	123201 	121501 	120482 	119569 	118447 	116852 	115182 	113744 	112509 	111272 	110269 	109429 	108509 	107158 	105726 	104343 	102568 	101268 	100886 	100180 	98979 	97525 	95906 	94332 	92606 	90989 	89410 	87714 	86082 
NR,F,TOTAL,IT	31143704 	31209230 	31294022 	31298104 	30795630 	30667608 	30649434 	30540758 	30430579 	30241633 	30011510 	29925637 	29830543 	29650299 	29471857 	29402457 	29384366 	29360536 	29345361 	29332801 	29309590 	29283903 	29275445 	29266001 	29249194 	29218960 	29196748 	29166531 	29138062 	29113808 	29101045 	29097656 	29087244 	29069034 	29062838 	29036636 	28994072 	28929293 	28837685 	28725411 	28598245 	28451492 	28286439 	28088587 	27896980 	27689524 	27567700 	27425300 	27268300 	27106400 	26916800 	26710200 	26498800 	26257200 	26059500 	25869700 	25705200 	25526600 
NR,F,TOTAL,LI	19064 	18962 	18813 	18729 	18591 	18433 	18263 	18125 	17998 	17908 	17825 	17701 	17550 	17413 	17232 	17088 	16825 	16650 	16387 	16113 	15967 	15823 	15731 	15535 	15332 	15011 	14567 	14533 	14389 	14187 	14004 	13833 	13602 	13520 	13376 	13228 	12696 	12913 	12729 	12470 	12197 	12036 	11855 	11640 	11298 	10991 	10734 	10871 	10592 	10217 	9969 	9704 	9460 	9223 	8981 	8695 	8498 	8342 
NR,F,TOTAL,LT	1535718 	1558951 	1575005 	1587477 	1603014 	1620130 	1645365 	1691777 	1710504 	1725186 	1743189 	1761372 	1792956 	1814911 	1830399 	1841083 	1856068 	1867773 	1878840 	1890607 	1902172 	1913647 	1925783 	1937924 	1947924 	1953537 	1950992 	1946235 	1935849 	1917414 	1900433 	1882381 	1866667 	1852487 	1837425 	1823260 	1811955 	1801928 	1792051 	1779573 	1767045 	1753156 	1739999 	1725253 	1710641 	1694750 	1676636 	1656091 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
