unit,sex,age,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 	1968 	1967 	1966 	1965 	1964 	1963 	1962 	1961 	1960 
NR,M,Y20-24,LI	1117 	1144 	1120 	1139 	1168 	1183 	1140 	1129 	1119 	1075 	1075 	1103 	1109 	1089 	1058 	1074 	1075 	1034 	1089 	1089 	1095 	1100 	1157 	1236 	1251 	1252 	1330 	1221 	1200 	1172 	1158 	1161 	1149 	1142 	1169 	1227 	1065 	1219 	1177 	1140 	1084 	1090 	1120 	1079 	1049 	: 	973 	: 	1134 	1086 	1032 	942 	1006 	948 	799 	700 	665 	646 
NR,M,Y20-24,LT	93525 	100181 	106729 	109709 	110376 	110082 	111839 	116237 	119079 	120250 	118950 	118706 	121035 	120066 	118227 	117501 	118357 	119383 	120542 	123260 	127740 	132385 	138577 	143642 	144602 	144958 	144801 	143222 	143617 	143468 	144503 	146954 	149425 	151518 	154434 	149156 	144491 	141254 	138589 	130665 	126545 	124605 	123090 	120530 	119412 	117161 	113354 	106821 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,LU	18912 b	17944 	17807 	17325 	17003 	16499 	15616 	15105 	14923 	14582 	14414 	14337 	14116 	13633 	13088 	13122 	12995 	12710 	12411 	12276 	12597 	13017 	13208 	13654 	14002 	14308 	14399 	14510 	14519 	14982 	14914 	14839 	14733 	14539 	14444 	14534 	14513 	14300 	14900 	14842 	14551 	14371 	13987 	13217 	12592 	12056 	11569 	11545 	: 	: 	11451 	: 	11307 	: 	: 	: 	11262 	11196 
NR,M,Y20-24,LV	52732 	58315 	63909 	69017 	73861 	76599 	79399 	83590 	87950 	89979 	88705 	87113 	85890 	84271 	81989 	80907 	81467 	81952 	82319 	82936 	84472 	86893 	89469 	91994 	93720 	96243 	95468 	95563 	95200 	95000 	94865 	96571 	99568 	101647 	103182 	104040 	102994 	101939 	100844 	97837 	95467 	94567 	94752 	93205 	91917 	91131 	87838 	83617 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,MD	135411 	: 	150859 	158297 	165963 	173122 	179261 	181847 	182437 	179330 	173190 	176624 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,ME	21180 	21124 	21038 	21028 	21330 	21560 	22155 	22246 	22560 	22377 	22290 	22152 	22065 	22327 	22601 	22524 	22123 	22326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,MK	75291 	77494 	78967 	80001 	81717 	83032 	83124 	83878 	84571 	84620 	84616 	84924 	84787 	84479 	83780 	84536 	84166 	83739 	82861 	82055 	81453 	80273 	78599 	77953 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,MT	16005 	15969 	15868 	15737 	15615 	15065 	15122 	15373 	15004 	14715 	14965 	14970 	15407 	15493 	15394 	15297 	15352 	15078 	14796 	14458 	13988 	13803 	13352 	13016 	12722 	12419 	12168 b	12173 	12403 	12754 	13341 	13855 	12948 	13510 	: 	15574 	15723 	15709 	15449 	14963 	14210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,NL	542404 	541020 	542322 	537679 	534217 	530628 	522667 	511916 	504317 	494597 	488388 	487458 	490059 	489597 	491819 	490153 	486741 	483242 	489409 	498656 	520053 	547217 	581117 	614676 	634632 	644546 	646495 	644909 	644084 	648464 	649698 	650452 	645867 	639899 	632498 	625939 	617218 	606459 	595358 	588760 	585527 	580949 	573762 	574014 	582088 	597750 	618485 	598448 	582563 	559721 	523613 	473519 	463684 	445687 	431412 	420329 	413467 	406827 
NR,M,Y20-24,NO	177559 	176520 	176877 	175343 	173489 	168352 	162253 	155602 	150394 	145319 	142064 	139588 	139055 	139227 	139482 	138519 	139832 	141427 	144365 	148375 	154688 	160576 	164820 	169115 	171862 	172356 	172667 	173765 	173969 	170540 	166372 	163253 	160254 	158769 	158378 	158094 	158039 	158481 	157622 	157264 	156934 	155546 	154829 	154804 	155965 	157812 	161854 	162677 	161962 	156686 	148214 	135616 	127445 	119255 	113491 	109290 	107720 	104415 
NR,M,Y20-24,PL	1166978 	1222415 	1278725 	1323029 	1363969 	1399440 	1430402 	1471789 	1564661 	1626334 	1671365 	1686937 	1681114 	1660728 	1625075 	1598260 	1589584 	1565848 	1585188 	1549380 	1514810 	1464630 	1416819 	1367628 	1331176 	1293610 	1269120 	1257674 	: 	: 	: 	: 	1437585 	: 	: 	: 	: 	1730444 	: 	: 	: 	: 	1724417 	: 	: 	: 	: 	1380600 	: 	: 	: 	: 	990500 	: 	: 	: 	: 	1149200 
NR,M,Y20-24,PT	272947 	275387 	279030 	284075 	287948 	292447 	294246 	299195 	308587 	320029 	332709 	345738 	360044 	369734 	378989 	390219 	399290 	403893 	411372 	415179 	415170 	412063 	406954 	401414 	397586 	393014 	390703 	391639 	398294 	405772 	414966 	419565 	421025 	413647 	407561 	399593 	385234 	376030 	369820 	360440 	353710 	346110 	352770 	339920 	325820 	303040 	299416 	301900 	311890 	308550 	311080 	312860 	319790 	321260 	323240 	327230 	336672 	341270 
NR,M,Y20-24,RO	536128 	558942 	585245 e	620499 e	660668 	696449 	708720 	716421 	722780 	760921 	810026 	812960 	851459 	859683 	869792 	908023 	991277 	1003555 	1019153 	1001258 	976457 	936548 	922878 	919267 	973932 	1030191 	1035673 	972155 	894648 	790640 	688029 	709784 	739322 	768298 	803625 	843012 	879477 	922048 	928276 	942037 	939523 	930510 	904349 	898592 	873793 	832759 	795432 	734164 	685965 	670158 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,RS	207955 	212367 	214606 	217062 	221507 	226877 	230068 	242187 	249316 	253693 	256568 	259093 	261235 	260985 	261388 	262472 	263349 	263146 	262413 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,RU	: 	: 	: 	5082059 	: 	: 	6170174 	6212084 	6361909 	6458795 	6408612 	6270330 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,SE	331021 	338198 	344583 	343988 	341574 	332889 	323001 	309505 	296806 	285371 	277497 	269488 	266583 	265094 	263207 	262376 	263245 	265126 	271963 	280269 	288308 	295628 	297919 	295287 	296679 	302208 	307819 	314571 	318955 	318083 	310562 	300859 	289937 	281439 	278457 	279626 	282885 	285205 	284552 	286512 	287126 	286052 	289580 	297931 	309098 	322500 	336634 	339767 	340225 	340080 	334123 	316396 	293320 	272843 	256462 	243620 	235769 	230095 
NR,M,Y20-24,SI	52637 	53591 	55198 	57434 	60622 	63743 	66235 	69356 	69992 	67920 	69904 	71487 	72833 	75433 	77089 	78051 	78489 	78191 	76535 	76328 	75407 	74254 	72492 	71828 	71741 	72040 	73582 	75189 	75970 	76238 	76504 	75329 	74386 	74403 	74071 	74213 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,SK	170276 	178639 	187508 	193893 	197760 	201764 	205463 	210537 	215767 	219681 	224056 	226805 	229017 	232995 	236301 	238802 	240254 	241822 	240635 	236947 	230528 	222092 	213635 	203895 	195499 	190578 	189723 	190836 	194341 	199209 	202241 	205539 	208350 	208724 	211387 	217178 	221843 	225907 	229701 	231150 	231002 	230034 	227390 	221104 	214137 	205737 	192556 	183267 	176048 	166871 	159503 	157556 	158168 	155412 	153711 	151668 	148309 	140474 
NR,M,Y20-24,SM	: 	: 	: 	: 	749 	754 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,TR	3247764 	3224168 	3191641 	3166104 	3151253 	3173618 	3200959 	3204748 	3187625 	3181804 	3258000 	3276000 	3281000 	3253000 	3212000 	3158000 	3103000 b	3473060 	3441115 	3391657 	3327695 	3249237 	3156273 	3050307 	2934328 	2817311 	2708782 	2538896 	2506909 	2476229 	2446803 	2418585 	2391523 	2316974 	2246016 	2178451 	2114102 	2052797 	2000898 	1951813 	1905360 	1861361 	1819661 	1742546 	1668996 	1598834 	1531891 	1468007 	1407110 	1348917 	1293300 	1240141 	1189324 	1181141 	1173185 	1165452 	1157938 	1150638 
NR,M,Y20-24,UA	1260866 	1331466 	1408638 	1564951 	1657101 	1731012 	1821388 	1883496 	1940203 	1982488 	1977600 	1934869 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y20-24,UK	2169380 	2190062 e	2199228 e	2189804 	2189579 	2180926 	2139495 	2088259 	2068549 	2059209 	2027309 	1991480 	1953418 	1901812 	1852054 	1811025 	1774532 	1747015 	1739124 	1770239 	1844296 	1933769 	2015843 	2093964 	2163875 	2217229 	2260575 	2302040 	2344419 	2378393 	2391852 	2386511 	2357548 	2297307 	2234174 	2189438 	2144264 	2090096 	2046336 	2016765 	1991576 	1972903 	1977249 	1997965 	2034521 	2110783 	2151800 	2128800 	2098000 	2045500 	1940600 	1832500 	1800000 	1700000 	1700000 	1700000 	1600000 	1600000 
NR,M,Y20-24,XK	76378 	85749 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,AD	: 	: 	: 	: 	2393 	2600 	2600 	3158 	3513 	3622 	3632 	3571 	3418 	2967 	2559 	2645 	2755 	2941 	3069 	3193 	3256 	3387 	3608 	3875 	3824 	3705 	3180 	2769 	2924 	2857 	2904 	2827 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,AL	123096 	122534 	118551 	115779 	112794 	107858 	102460 	96762 	92767 	91197 	89080 	89024 	90002 	92626 	94112 	97885 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,AM	131318 	133769 	133863 	: 	: 	: 	: 	146984 	141657 	136636 	131068 	126073 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,AT	305726 	299605 	288635 	282610 	277929 	277529 	278116 	278440 	276360 	272183 	265882 	260934 	256525 	255620 	257632 	263353 	272000 	282945 	297213 	314608 	329133 	341760 	353127 	360386 	360778 	356927 	350274 	340106 	328923 	318740 	311138 	301175 	291037 	280616 	271890 	265223 	256198 	254677 	257570 	264150 	271127 	270756 	261970 	263741 	255954 	246606 	257839 	285377 	297756 	292492 	279810 	257199 	228604 	203967 	200540 	203530 	209137 	217003 
NR,M,Y25-29,AZ	470445 	468090 	463564 	456527 	442733 	429970 	416472 	405895 	380200 	361100 	346000 	333300 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,BE	370223 	366995 	357776 	354157 	352459 	351170 	351045 	345261 	346023 	343935 	340168 	335194 	330174 	328486 	330683 	335226 	342700 	353412 	361567 	367615 	372729 	377701 	386282 	395784 	403898 	408125 	411399 	411075 	409383 	406300 	403754 	401305 	398386 	391074 	389489 	386126 	393130 	390573 	387362 	386639 	380377 	381371 	368005 	355539 	342301 	320392 	293455 	289685 	286311 	288399 	295150 	305528 	307952 	302488 	298132 	301371 	306526 	315755 
NR,M,Y25-29,BG	239641 	247953 	251020 	253073 	252914 	254638 	255737 	258748 	263961 	269271 	276336 	283819 	291026 	295884 	298530 	294660 	307594 	304028 	300173 	300891 	295832 	288128 	280074 	272551 	268771 	276685 	285557 	295295 	308299 	310747 	312120 	315634 	321721 	324941 	327222 	328718 	324473 	331186 	335701 	342015 	342969 	347957 	340259 	326320 	313570 	306349 	291667 	286320 	282199 	281415 	282272 	287484 	290141 	303949 	312664 	323995 	326435 	332785 
NR,M,Y25-29,BY	378443 	391179 	396607 	399208 	399619 	394929 	386043 	: 	398392 	384840 	376147 	368829 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,CH	288343 	283314 	278301 	274522 	269140 	266662 	263516 	254043 	248945 	241401 	234544 	232007 	230047 	230132 	231177 	233277 	232459 	238373 	244622 	252685 	262032 	272696 	281564 	289107 	292824 	292962 	287106 	275032 	266747 	259726 	253764 	248846 	244617 	240089 	236750 	231931 	227987 	229027 	232596 	238764 	245172 	254836 	262116 	264490 	262298 	258234 	252969 	254099 	242296 	231133 	220451 	215255 	213405 	210024 	205049 	201651 	195258 	193600 
NR,M,Y25-29,CY	35636 	35449 	35953 	36130 	36970 	36847 	35101 	34028 	32273 	30525 	29060 	27556 	25655 	24701 	24161 	23901 	22788 	23031 	22939 	23220 	23201 	23373 	23589 	23956 	24128 	23600 	23105 	22672 	22381 	22342 	22306 	22267 	22256 	22206 	22169 	22087 	: 	: 	: 	: 	: 	21652 	: 	: 	24912 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18471 	: 
NR,M,Y25-29,CZ	350383 	352844 	357001 	361884 	366360 	371423 	374782 	383531 	397961 	409332 	420222 	437923 	451916 	461047 	461010 	452278 	438192 	421662 	396564 	373698 	359334 	350617 	348286 	353033 	358226 	355092 	350507 	347987 	335608 	331470 	341365 	355240 	371368 	388572 	402513 	412106 	419393 	430239 	432561 	438167 	445000 	447982 	434402 	427097 	413490 	388027 	362733 	366426 	345774 	324317 	309713 	296745 	285059 	283710 	286605 	294911 	305168 	319822 
NR,M,Y25-29,DE	2787105 	2798715 	2652021 	2579372 	2506631 	2461861 	2430244 b	2522868 	2523056 	2518610 	2489938 	2459058 	2410315 	2393041 	2384438 	2423549 	2521890 	2675238 	2872319 	3107934 	3312685 	3466125 	3590232 	3687965 	3722522 	3674102 	3617173 	2819275 	2677431 	2565503 	2552970 	2465923 	2384756 	2324857 	2280950 	2254647 	2207612 	2182749 	2174302 	2178847 	2157660 	2126570 	2043703 	2043119 	2006514 	2012169 	2120134 	2442294 	2492762 	2549670 	2659364 	2628844 	2510442 	2379819 	2220648 	2076405 	1954974 	1857399 
NR,M,Y25-29,DE_TOT	2787105 	2798715 	2652021 	2579372 	2506631 	2461861 	2430244 b	2522868 	2523056 	2518610 	2489938 	2459058 	2410315 	2393041 	2384438 	2423549 	2521890 	2675238 	2872319 	3107934 	3312685 	3466125 	3590232 	3687965 	3722522 	3674102 	3617173 	3538733 	3406780 	3268748 	3235493 	3129539 	3041818 	2981037 	2941109 	2919985 	2881934 	2847302 	2815228 	2777320 	2712681 	2618229 	2483274 	2484040 	2469853 	2495865 	2676256 	3063547 	3147474 	3222864 	3348043 	3303846 	3166140 	3040681 	2848539 	2673627 	2526389 	2400727 
NR,M,Y25-29,DK	190982 	184872 	176161 	169199 	162747 	159427 	156548 	155957 	158214 	160378 	162254 	167443 	173681 	179508 	183903 	190137 	194407 	194097 	194454 	196096 	198829 	204093 	209560 	215133 	217918 	215584 	208842 	203793 	198485 	194535 	192692 	191198 	189292 	189401 	190580 	191039 	191099 	191785 	192825 	195250 	201401 	209914 	217770 	222381 	219977 	212743 	200829 	184943 	172682 	165089 	157452 	153856 	150190 	147285 	143748 	141054 	138766 	138647 
NR,M,Y25-29,EA18	10228174 bp	10259643 p	10148979 b	10149871 	10148928 	10283571 	10401459 b	10681108 	10843046 	10955734 	10963722 	10995562 	10985089 	11024034 	11060229 	11172655 	11411093 	11654627 	11911247 	12174796 	12323394 	12501354 	12666804 	12820798 	12861081 	12757958 	12600052 	12435640 	12179313 	11934177 	11832279 	11620303 	11431113 	11260003 	: 	11048981 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,EA19	10328015 bp	10360310 p	10249253 b	10249436 	10248354 	10381309 	10499918 b	10785253 	10947941 	11059578 	11068705 	11102100 	11094168 	11134624 	11173035 	11288191 	11531721 	11780189 	12042370 	12309012 	12459877 	12639843 	12805535 	12961821 	13006141 	12906720 	12752782 	12592292 	12336778 	12091145 	11986316 	11768230 	11573435 	11396232 	: 	11174071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,EE	50529 	51769 	51382 b	50299 	49840 	49078 	49040 	49040 	48640 	48050 	48430 	48560 	48950 	49190 	49620 	49860 	50460 	50690 	47555 	47512 	46653 	45953 	46085 	47723 	50331 	54583 	57043 	59210 	60212 	61083 	60880 	60742 	60672 	60936 	60872 	60666 	60317 	59290 	59202 	59247 	58267 	56902 	53717 	49403 	45642 	44372 	45979 	48137 	51271 	53745 	55432 	54545 	53992 	51816 	49867 	48711 	48310 	49012 
NR,M,Y25-29,EEA30	16351556 bp	16395781 ep	16295156 be	16280257 e	16259146 	16387799 	16528087 b	16810698 	17024953 	17142758 	17149114 	17162620 	17167062 	17190961 	17224535 	17367441 	17669657 	17882261 	18146159 	18469999 	18672499 	18814445 	18931622 	19052067 	19024268 	18847611 	18770227 	18659938 	: 	: 	: 	: 	17967667 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,EEA31	16481030 bp	16527893 ep	16430695 be	16420285 e	16401611 	16533212 	16676273 b	16961322 	17176048 	17293991 	17299762 	17311908 	17314006 	17335300 	17367017 	17508616 	17809945 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,EFTA	490093 	481066 	471140 	461097 	450326 	443494 	435322 	423280 	416907 	405439 	392947 	389074 	387690 	390999 	396824 	405070 	409866 	418656 	428219 	438168 	447779 	459756 	470022 	476839 	478030 	475859 	466774 	452537 	443033 	433876 	425874 	420659 	416277 	410693 	406985 	401188 	395096 	395517 	399299 	406184 	414359 	428187 	435225 	435978 	427860 	: 	395424 	: 	367056 	349843 	334560 	327838 	322582 	317043 	310385 	307612 	302343 	304777 
NR,M,Y25-29,EL	293909 	295771 	306636 	320257 	341797 	370924 	395491 	415240 	430190 	437876 	441404 	444176 	440104 	436947 	433744 	432521 	464307 	459212 	453461 	445622 	437956 	432266 	420844 	407066 	388630 	372087 	359173 	353967 	349787 	347792 	346446 	344505 	340500 	332218 	334536 	343694 	340702 	318026 	310288 	302826 	302602 	304323 	302661 	297588 	289175 	268607 	254920 	239724 	317629 	263502 	338492 	283148 	354683 	295976 	370775 	309861 	382962 	326010 
NR,M,Y25-29,ES	1264891 	1284350 	1321886 	1376954 	1456221 	1547933 	1639319 	1739467 	1833854 	1901997 	1918799 	1940982 	1940189 	1914797 	1870480 	1805963 	1771123 	1748872 	1726478 	1708007 	1691562 	1675045 	1660418 	1653996 	1636078 	1602513 	1571029 	1556387 	1527652 	1506239 	1488801 	1456131 	1419067 	1375956 	1336014 	1302846 	1277233 	1262523 	1265496 	1280161 	1269174 	1259470 	1261347 	1246217 	1212631 	1168578 	1120908 	1108400 	1085174 	1059926 	1033212 	1007933 	1044384 	1082480 	1123098 	1166141 	: 	1194271 
NR,M,Y25-29,EU27	16149806 bp	16198029 ep	16102317 be	16093682 e	16077960 	16210967 	16356281 b	16641461 	16856991 	16978720 	16990711 	17005553 	17009419 	17030094 	17058888 	17195648 	17492250 	17701978 	17962562 	18284516 	18486752 	18627385 	18743164 	18864335 	18839062 	18664714 	18590559 	18482433 	: 	: 	: 	: 	17796007 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,EU28	16279280 bp	16330141 ep	16237856 be	16233710 e	16220425 	16356380 	16504467 b	16792085 	17008086 	17129953 	17141359 	17154841 	17156363 	17174433 	17201370 	17336823 	17632538 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,FI	178544 	175568 	174020 	174367 	175226 	177541 	177710 	177022 	174715 	171554 	169194 	169408 	169294 	167827 	163651 	160236 	156842 	155590 	157174 	163755 	170510 	177046 	182487 	187952 	191029 	192300 	192527 	193158 	193106 	191995 	193236 	195856 	198250 	200297 	203331 	206315 	206989 	210505 	216359 	222922 	227854 	233379 	231243 	217851 	201603 	178746 	169075 	156816 	158709 	158732 	161752 	151326 	154923 	151881 	146889 	145927 	147939 	150266 
NR,M,Y25-29,FR	1936580 p	1948883 p	1953731 b	1948321 	1939031 	1955153 	1963953 	1983490 	1986104 	1985248 	1967338 	1931070 	1900032 	1918838 	1969445 	2027471 	2098018 	2150263 	2175756 	2170288 	2159202 	2161903 	2177902 	2203649 	2225675 	2227535 	2223071 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,FX	: 	: 	: 	: 	1888988 	1904290 	1913062 	1932423 	1934870 	1934583 	1917197 	1881573 	1850939 	1866104 	1913763 	1969627 	2038564 	2089995 	2113519 	2107995 	2096864 	2099017 	2114014 	2138611 	2159128 	2160162 	2155278 	2147604 	2136573 	2122586 	2124977 	2119957 	2119775 	2119345 	2122234 	2129502 	2137405 	2165196 	2193549 	2230456 	2255749 	2261379 	2148788 	2026294 	1887585 	1730702 	1565007 	1513875 	1487893 	1475148 	1491203 	1538105 	1570025 	1593192 	1613404 	1600716 	1616973 	1648792 
NR,M,Y25-29,GE	139900 	140100 	150300 	181609 	: 	181246 	177271 	172171 	167017 	165338 	162823 	160784 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,HR	129474 	132112 	135539 	140028 	142465 	145413 	148186 	150624 	151095 	151233 	150648 	149288 	146944 	144339 	142482 	141175 	140288 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,M,Y25-29,HU	320288 	317405 	315549 	312644 	311264 	313664 	349125 	357194 	371369 	387300 	402727 	417786 	431966 	437972 	428425 	417376 	399618 	382508 	368105 	367324 	363897 	356647 	345580 	333374 	321059 	310090 	309048 	313671 	335490 	345307 	361205 	384128 	411754 	443857 	462719 	467667 	462396 	452175 	442725 	430355 	425822 	410827 	392841 	387690 	377090 	370515 	369613 	371769 	360147 	352836 	340924 	333477 	327020 	327533 	330903 	338696 	345709 	354726 
NR,M,Y25-29,IE	144336 	144916 	144504 	148881 	156853 	166364 	180676 	191173 	199926 	204090 	199456 	185009 	171340 	161853 	157964 	154867 	149893 	144637 	139504 	135455 	131312 	128524 	125268 	122694 	121397 	120958 	120601 	120424 	121291 	124630 	127757 	130000 	129099 	128800 	127100 	126300 	124000 	122507 	120500 	116000 	111800 	107600 	103200 	98800 	94700 	90600 	87000 	84100 	81600 	79200 	76800 	74900 	74500 	73900 	73300 	72700 	72900 	75200 
NR,M,Y25-29,IS	13495 	12583 	11839 	11581 	11211 	11351 	11816 	12358 	13206 	12977 	11868 	11127 	10532 	10346 	10640 	10943 	10851 	10490 	10346 	9985 	9749 	9934 	10411 	10711 	10965 	11106 	10941 	11065 	11202 	10886 	10810 	10834 	10686 	10463 	10375 	10053 	9691 	9640 	9465 	9176 	9058 	8997 	8642 	8291 	7985 	7549 	7121 	6713 	6397 	6102 	5864 	5781 	5818 	5828 	5838 	5913 	6052 	6231 
NR,M,Y25-29,IT	1654258 	1653304 	1659045 	1666824 	1636492 	1657251 	1658118 	1680840 	1716071 	1755857 	1794281 	1876412 	1963745 	2027389 	2062926 	2127800 	2186334 	2219732 	2250875 	2275160 	2294876 	2318777 	2349494 	2375551 	2374518 	2355948 	2295877 	2242883 	2174756 	2119469 	2077465 	2033723 	1999096 	1968496 	1942253 	1915193 	1896360 	1906531 	1922949 	1981888 	2030653 	2078733 	1997428 	1936800 	1842822 	1768635 	1718100 	1815600 	1891200 	1946600 	1977800 	1990600 	1957100 	1928100 	1905300 	1893200 	1914400 	1944200 
NR,M,Y25-29,LI	1176 	1158 	1177 	1158 	1103 	1123 	1141 	1139 	1149 	1148 	1145 	1150 	1106 	1129 	1158 	1153 	1155 	1253 	1311 	1291 	1336 	1352 	1310 	1318 	1291 	1277 	1355 	1263 	1243 	1225 	1242 	1247 	1224 	1201 	1244 	1229 	1216 	1354 	1362 	1292 	1279 	1331 	1300 	1212 	1107 	: 	1024 	: 	1060 	949 	898 	820 	839 	725 	693 	607 	559 	568 
